time,pos_FR_hip_joint,pos_FR_thigh_joint,pos_FR_calf_joint,pos_FL_hip_joint,pos_FL_thigh_joint,pos_FL_calf_joint,pos_RR_hip_joint,pos_RR_thigh_joint,pos_RR_calf_joint,pos_RL_hip_joint,pos_RL_thigh_joint,pos_RL_calf_joint
0,-0.00677305094252205,0.850718319769901,-1.99093081347049,0.0719263075135849,0.93458756103982,-1.86178871995555,-0.0647539889789732,0.860135154790413,-2.00780148143482,0.0193022125725665,0.860329568372751,-2.04638217372518
0.008,-0.00750816299465548,0.824835062278743,-1.95381138738849,0.0668555887538144,0.945982191469081,-1.8620562502918,-0.0694286337243899,0.870764976055013,-2.00606560907115,0.0245806588832532,0.837471557556282,-2.03988461423761
0.016,-0.00779325805833069,0.803467480302725,-1.92174771042533,0.0601727636946715,0.963572811095145,-1.86548710443542,-0.0729787040139125,0.887369418709184,-2.00778734207915,0.0296278504596556,0.816866326662395,-2.03065449824475
0.024,-0.00762336739253882,0.786265495550292,-1.89427375790428,0.0522945453648164,0.991087948213046,-1.86954962871207,-0.0740098312355781,0.912227094118241,-2.0143303148546,0.0336897308767849,0.798230518779965,-2.01101372283847
0.032,-0.0077500895320887,0.773136416217692,-1.87101156329692,0.0446978588809776,1.02468288982297,-1.8805914023983,-0.0704614817417507,0.947997717276158,-2.01638453815028,0.0357129628782223,0.783970772834316,-1.99172082460822
0.04,-0.00859608530087341,0.763722691724454,-1.8515246464118,0.0379905104200988,1.05984400918096,-1.89783348226558,-0.0646860133442554,0.98956428987019,-2.02095219559645,0.035743633985667,0.772026125698639,-1.97682335126394
0.048,-0.0134205708691455,0.760881998872857,-1.84755785396173,0.0330630579418568,1.09415001189972,-1.91914640415268,-0.0567104526897921,1.03270363279152,-2.02562954878485,0.0350258198530869,0.761595141251233,-1.96409116705069
0.056,-0.0204100120796502,0.76316002308351,-1.85412220744753,0.029609276768709,1.12567021318404,-1.94262457255133,-0.0481407449569145,1.07310959823749,-2.03283100157742,0.0351391017463336,0.753283799419998,-1.95354916030163
0.064,-0.0268113080675707,0.767632977248917,-1.86319151146701,0.0269260695928039,1.15252698859043,-1.96701187443946,-0.0408170620707999,1.10779153982384,-2.04324673284153,0.0364506604937503,0.747146472295931,-1.94507187214466
0.072,-0.0319021277950483,0.773026592189131,-1.87161930805413,0.0245899164866573,1.17338389727996,-1.99147551852823,-0.0351967273842677,1.13544021451995,-2.05599913407149,0.0387763929395648,0.743134622175677,-1.93851860990592
0.08,-0.0357684943853628,0.7789121016228,-1.87835677104827,0.0224121723016772,1.18752563386419,-2.01548889336277,-0.0311110614080323,1.15555629887726,-2.07025420411721,0.0417564495598526,0.741201022694444,-1.93376034309167
0.088,-0.0387450915404261,0.785226566203428,-1.88324065563107,0.0203295947406091,1.19476932669813,-2.03872336197812,-0.028205287871461,1.16810743296158,-2.08536107695411,0.0450344536332295,0.741262634492169,-1.93065161610311
0.096,-0.0411617780955331,0.792116551126901,-1.88639021686398,0.0182576948145456,1.19576379241566,-2.06098242415236,-0.0261136944907699,1.17383277365067,-2.10084993157769,0.0483327512851064,0.743426574610111,-1.92917071548773
0.104,-0.0433200772667323,0.799693705628118,-1.88808488216577,0.0163162472152769,1.19063438814561,-2.08198403294251,-0.024599147506922,1.1728735653253,-2.11619428782446,0.0514244970298627,0.747581063179424,-1.92910610610501
0.112,-0.0454156545483738,0.80810239372099,-1.88867168934482,0.0145596963613298,1.17964242667523,-2.1014708808418,-0.0234620644450088,1.16552642340316,-2.13093451473664,0.0541606927848979,0.753680242689657,-1.93036434028534
0.12,-0.0475642225268013,0.817430860436618,-1.8884064341054,0.0130072588298367,1.16320085217675,-2.11900310662577,-0.0225038690912365,1.15221391384185,-2.14446499900526,0.0564829019865392,0.761621985285685,-1.9328037585384
0.128,-0.0498364441103338,0.827707227482882,-1.88743830086503,0.0116147057807782,1.14174812292935,-2.13390502116666,-0.0216098887366716,1.13340030834949,-2.15597342872238,0.0583839235196821,0.77126681638427,-1.93624130291319
0.136,-0.0522637968812254,0.838921777031633,-1.88591698236453,0.01037215116406,1.1157874380271,-2.14525022481791,-0.0207113763154098,1.1096269124542,-2.16442354264672,0.0598886895644803,0.782431957135904,-1.94046326581043
0.144,-0.0548528484497464,0.851026443270282,-1.8839807498472,0.0092861691599746,1.08599935448962,-2.15203842547646,-0.0197793886962761,1.08162392792197,-2.16881935591785,0.0610445695427041,0.794912237620808,-1.9452489192653
0.152,-0.0575836710449943,0.863933391265208,-1.88174471565001,0.00833732866103588,1.05331948508063,-2.15323837467103,-0.0187592210134074,1.05036332417869,-2.16786773872768,0.0619280147508404,0.808484227477171,-1.95037458702992
0.16,-0.0604372097559608,0.877521375886569,-1.87929984869285,0.00757303304114309,1.01880254154626,-2.14714104019359,-0.0176976381390799,1.01696104488915,-2.15988894465775,0.0626073768279249,0.822920818999637,-1.95561776220981
0.168,-0.0633920863866322,0.891641805301412,-1.87673432711021,0.00696783449829476,0.983582133467452,-2.13233615912369,-0.0165983881060044,0.98258784304629,-2.14343181847325,0.0631546793384132,0.837972524359085,-1.96075634629094
0.176,-0.0664207932046685,0.906124805104351,-1.87415162369839,0.00651106772192768,0.948566677246385,-2.10792374926091,-0.015459121064825,0.948182963723063,-2.11755393741073,0.0636419226042826,0.853361207112448,-1.9655721539241
0.184,-0.0694925568431433,0.920797022152877,-1.87167999195486,0.00616479283306628,0.91435704418283,-2.07394196558743,-0.0142549594957364,0.914373968252497,-2.08225763449559,0.0641350509997608,0.868792864937972,-1.96986818749949
0.192,-0.0725723047286931,0.935512682408623,-1.86948475188368,0.00580505105878927,0.881548002949501,-2.03254936496583,-0.0128661193955607,0.881785797929605,-2.039676440101,0.0647015966692644,0.883994207406548,-1.97351434531118
0.2,-0.0745749332346777,0.94927388929654,-1.86778619911021,0.00573312936477659,0.851432795510969,-1.99043096534352,-0.012690279918185,0.855056899355938,-2.01042195823486,0.0659769809841406,0.897893206221933,-1.97589244942265
0.208,-0.0727543481747028,0.961250128807161,-1.86736130317698,0.00652864909453378,0.825451797856393,-1.95338557321067,-0.0157700712129737,0.834824441574306,-2.00201934985045,0.0690457197833508,0.909556888749515,-1.97640511850874
0.216,-0.0673911232045673,0.977247482668166,-1.87150954486792,0.00727437354668273,0.803968869036392,-1.92156780560944,-0.0203776477958562,0.817166715544521,-1.99753215227462,0.0719399366478038,0.92490156556856,-1.97903895502693
