label,FR_hip,FR_thigh,FR_calf,FL_hip,FL_thigh,FL_calf,RR_hip,RR_thigh,RR_calf,RL_hip,RL_thigh,RL_calf
base_pose,0.0183,1.3477,-2.1715,0.0437,1.348,-2.173,0.0285,1.385,-2.185,0.0434,1.3842,-2.1826
FR_init,0.0071,1.1878,-2.2328,0.0554,1.3559,-2.1953,0.0215,1.3897,-2.1995,0.0503,1.3885,-2.1962
FR_mid,-0.0034,1.0866,-2.2611,0.0681,1.3637,-2.2182,0.013,1.3951,-2.2164,0.0571,1.3926,-2.2095
RL_init,-0.0141,1.0863,-2.2859,0.0811,1.3712,-2.2407,0.0041,1.4007,-2.234,0.0643,1.4504,-2.1857
RL_mid,-0.0267,1.0862,-2.3137,0.0934,1.3776,-2.2613,-0.0039,1.4057,-2.2494,0.0731,1.5517,-2.1386
RL_recovery,-0.039,1.0857,-2.3405,0.1074,1.3851,-2.2835,-0.0127,1.4112,-2.2659,0.0809,1.2733,-2.2988
FR_recovery,-0.0639,1.3968,-2.3419,0.1377,1.3991,-2.3304,-0.0335,1.4222,-2.3024,0.0973,1.4251,-2.2988
FL_init,-0.0783,1.403,-2.3655,0.1526,1.2637,-2.3837,-0.0425,1.4267,-2.3181,0.1061,1.4294,-2.2988
RR_init,-0.0948,1.4101,-2.3916,0.1654,1.2657,-2.4054,-0.05,1.501,-2.2988,0.1177,1.4351,-2.3174
FL_mid,-0.1101,1.4161,-2.4154,0.1804,1.0612,-2.4308,-0.0593,1.577,-2.2517,0.1276,1.4399,-2.3331
RR_recovery,-0.1249,1.4214,-2.4368,0.1971,1.0593,-2.4598,-0.0709,1.4251,-2.346,0.1375,1.4447,-2.3473
FL_recovery,-0.1404,1.4267,-2.4599,0.2117,1.4156,-2.4591,-0.0811,1.4298,-2.3621,0.1487,1.4502,-2.3646
