label,FR_hip,FR_thigh,FR_calf,FL_hip,FL_thigh,FL_calf,RR_hip,RR_thigh,RR_calf,RL_hip,RL_thigh,RL_calf
Base_pose,0.0171,0.9853,-1.9689,0.0449,0.9853,-1.9689,0.0276,0.9443,-1.9972,0.0443,0.9443,-1.9783
RL_up,0.0053,0.9941,-2.004,0.0542,0.9945,-1.9991,0.0169,0.9431,-2.0223,0.0577,0.9432,-2.2328
Front_lift,0.0063,0.9854,-2.0443,0.0535,0.9848,-2.0443,0.0187,0.942,-2.0189,0.0562,0.9423,-2.0031
RR_lift,-0.0028,0.9873,-2.0648,0.0615,0.9867,-2.0615,0.0101,0.9377,-2.214,0.0666,0.9378,-2.0285
base_pose,0.0065,0.9855,-1.991,0.0532,0.9848,-1.9859,0.0191,0.9419,-2.0189,0.0558,0.9423,-2.0032
Front_RR,-0.0017,0.9844,-2.1103,0.0611,0.9834,-2.1574,0.0102,0.9399,-2.3365,0.0657,0.9443,-2.0268
test1,0.0,0.0,0.0,0.0,-0.5333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test2,-0.011,-0.0024,-0.7679,0.0009,-0.5494,-0.7706,-0.0,-0.1187,-0.8378,-0.0089,-0.0251,-0.7844
test3,-0.0209,-0.432,-0.8165,0.0015,-0.5686,-0.8192,-0.0,-0.1187,-0.8378,-0.0183,-0.0467,-0.8327
test4,-0.0287,-0.5586,-0.8342,0.0015,-0.5686,-0.8315,-0.0091,-0.1595,-0.8737,0.0017,-0.1693,-0.8611
