label,FR_hip,FR_thigh,FR_calf,FL_hip,FL_thigh,FL_calf,RR_hip,RR_thigh,RR_calf,RL_hip,RL_thigh,RL_calf
Vase_pose,0.0183,1.3477,-2.1715,0.0437,1.348,-2.173,0.0285,1.385,-2.185,0.0434,1.3842,-2.1826
FR_init,0.0071,1.2384,-2.1939,0.0554,1.3559,-2.1953,0.0215,1.3897,-2.1995,0.0503,1.3885,-2.1962
RL_init,-0.0069,1.2437,-2.2213,0.0654,1.3614,-2.2143,0.0155,1.3998,-2.2113,0.0604,1.5263,-2.2144
FR_RL_push,-0.0163,1.0612,-2.2393,0.0822,1.3715,-2.2428,0.0032,1.4063,-2.2328,0.0651,1.6023,-2.1574
RL_recovery,-0.0288,1.0606,-2.2659,0.0947,1.365,-2.2234,-0.0051,1.3998,-2.2046,0.0732,1.3998,-2.2046
FR_recovery1,-0.0406,1.2384,-2.2903,0.1096,1.3726,-2.2046,-0.0155,1.406,-2.2222,0.0809,1.4043,-2.2173
FR_recovery2,-0.0501,1.365,-2.2046,0.1289,1.365,-2.2046,-0.0286,1.4137,-2.2046,0.0851,1.3998,-2.2046
FL_init,-0.0665,1.3741,-2.2301,0.142,1.2384,-2.2244,-0.0351,1.4177,-2.2156,0.0952,1.4056,-2.2208
RR_init,-0.0788,1.3802,-2.25,0.1589,1.2431,-2.2513,-0.046,1.501,-2.2333,0.1021,1.4092,-2.2323
FL_RR_push,-0.0961,1.365,-2.2046,0.1718,1.0106,-2.2717,-0.0527,1.6529,-2.1386,0.1138,1.3998,-2.2046
RR_recovery,-0.1221,1.365,-2.2046,0.1777,1.0095,-2.2819,-0.0527,1.3998,-2.2046,0.1337,1.3998,-2.2046
FL_recoovery,-0.1409,1.3744,-2.2291,0.19,1.1878,-2.3043,-0.0594,1.4037,-2.2149,0.1468,1.4068,-2.2239
FL_recoveery2,-0.1578,1.365,-2.2046,0.2051,1.365,-2.1951,-0.0679,1.3998,-2.2046,0.157,1.3998,-2.2046
