gen,best_reward,avg_reward,overall_best,dist_x,height,steps,terminated,time_sec
0,-3.728856,-3.886872,-3.728856,-0.025869,0.164211,4000,False,11.5
10,-0.554099,-5.474838,-0.554099,-0.006282,0.168193,4000,False,6.0
20,-0.207155,-9.449344,-0.143735,0.044016,0.156886,4000,False,5.3
30,-0.160265,-1.969793,-0.143735,0.007834,0.167060,4000,False,6.2
40,-0.170077,-0.746962,-0.143735,0.006909,0.175915,4000,False,7.1
50,-0.095980,-0.505734,-0.095980,0.072782,0.171633,4000,False,6.1
60,-0.061975,-2.315528,-0.059606,0.074304,0.173930,4000,False,5.7
70,-0.060715,-0.249284,-0.048986,0.107605,0.167200,4000,False,6.1
80,-0.044385,-0.180180,-0.015149,0.121396,0.171413,4000,False,6.3
90,-0.018226,-1.129302,-0.015149,0.138343,0.168255,4000,False,5.8
100,-0.003665,-0.076998,-0.000657,0.115679,0.171306,4000,False,6.2
110,0.010054,-0.041473,0.012736,0.131169,0.170207,4000,False,6.1
120,0.021161,-0.007918,0.032468,0.156522,0.167400,4000,False,6.2
130,0.039584,0.009527,0.040022,0.181515,0.167850,4000,False,6.2
140,0.043667,0.029360,0.045226,0.188363,0.166047,4000,False,6.2
150,0.051226,-1.965700,0.052172,0.201161,0.164670,4000,False,5.9
160,0.054946,-3.958168,0.055002,0.211305,0.159953,4000,False,5.3
170,0.058175,-8.960373,0.059743,0.217113,0.160475,4000,False,5.1
180,0.060579,-1.948367,0.060579,0.223077,0.162579,4000,False,6.1
190,0.061936,-6.950409,0.062636,0.224302,0.161833,4000,False,5.1
200,0.063836,-5.947385,0.064463,0.226748,0.159875,4000,False,5.1
210,0.065545,-6.945710,0.065545,0.224498,0.160576,4000,False,5.5
220,0.066354,-3.940051,0.066846,0.223806,0.160813,4000,False,6.6
230,0.067154,-3.939570,0.067189,0.225858,0.160217,4000,False,6.1
240,0.067685,-7.943976,0.067685,0.227042,0.160504,4000,False,6.1
250,0.068218,-6.942301,0.068536,0.229250,0.160698,4000,False,6.5
260,0.069314,-2.936940,0.069868,0.226810,0.163056,4000,False,6.1
270,0.071182,-4.937837,0.071447,0.228655,0.162231,4000,False,6.0
280,0.073104,-5.937953,0.073425,0.239191,0.162454,4000,False,5.2
290,0.074701,-10.943808,0.075522,0.240393,0.163490,4000,False,5.2
300,0.076345,-4.935095,0.076345,0.240811,0.163256,4000,False,5.3
310,0.077937,-9.939946,0.077937,0.248371,0.162559,4000,False,5.0
320,0.078669,-3.928806,0.078669,0.248841,0.161774,4000,False,5.8
330,0.079971,-15.946415,0.079971,0.247588,0.162190,4000,False,4.5
340,0.080668,-3.927522,0.080668,0.254951,0.162301,4000,False,5.7
350,0.081195,-0.921376,0.081270,0.256181,0.161980,4000,False,5.9
360,0.081703,-5.928485,0.081703,0.254534,0.161833,4000,False,5.3
370,0.082096,-9.934590,0.082136,0.256982,0.161626,4000,False,5.0
380,0.082344,-2.922787,0.082344,0.256980,0.161825,4000,False,5.7
390,0.082393,-6.929259,0.082431,0.256777,0.161691,4000,False,5.2
400,0.082410,-5.927582,0.082486,0.255774,0.161976,4000,False,5.1
410,0.082491,-8.932440,0.082512,0.256124,0.161938,4000,False,5.2
420,0.082546,-1.920845,0.082546,0.256383,0.161835,4000,False,5.9
430,0.082569,-3.924093,0.082571,0.256593,0.161790,4000,False,5.4
440,0.082596,-2.922473,0.082602,0.256490,0.161885,4000,False,5.7
450,0.082597,-3.924114,0.082611,0.256878,0.161890,4000,False,5.3
460,0.082609,-7.930646,0.082641,0.256203,0.161896,4000,False,5.2
470,0.082653,-1.920720,0.082658,0.256754,0.161969,4000,False,5.5
480,0.082682,-6.929008,0.082696,0.257036,0.161987,4000,False,5.2
490,0.082695,-0.919037,0.082705,0.256797,0.161948,4000,False,5.9
500,0.082724,-6.928959,0.082724,0.256628,0.161912,4000,False,5.2
510,0.082730,-2.922321,0.082730,0.256719,0.161927,4000,False,5.8
520,0.082735,-0.918960,0.082736,0.256559,0.161875,4000,False,5.8
530,0.082741,0.082689,0.082742,0.256453,0.161887,4000,False,6.2
540,0.082744,-2.922242,0.082744,0.256481,0.161885,4000,False,5.4
550,0.082750,0.082672,0.082750,0.256567,0.161893,4000,False,6.1
560,0.082753,-5.927190,0.082755,0.256467,0.161890,4000,False,5.2
570,0.082751,0.082713,0.082756,0.256521,0.161891,4000,False,6.2
580,0.082758,0.082707,0.082759,0.256496,0.161913,4000,False,6.2
590,0.082759,0.082746,0.082759,0.256505,0.161923,4000,False,6.2
600,0.082763,0.082736,0.082763,0.256517,0.161915,4000,False,6.2
610,0.082764,0.082745,0.082764,0.256501,0.161917,4000,False,6.1
620,0.082764,-0.918895,0.082764,0.256499,0.161923,4000,False,5.9
630,0.082764,-2.922205,0.082764,0.256505,0.161919,4000,False,5.3
640,0.082765,0.082761,0.082765,0.256512,0.161918,4000,False,6.3
650,0.082765,0.082762,0.082765,0.256511,0.161919,4000,False,6.1
660,0.082766,0.082763,0.082766,0.256511,0.161918,4000,False,6.2
670,0.082766,0.082764,0.082766,0.256512,0.161915,4000,False,6.2
680,0.082766,-3.923885,0.082766,0.256505,0.161916,4000,False,5.5
