gen,best_reward,avg_reward,overall_best,dist_x,height,steps,terminated,time_sec
0,-3.565220,-3.738346,-3.565220,-0.028499,0.165015,4000,False,7.1
10,-0.487583,-17.354845,-0.487583,-0.082199,0.162392,4000,False,4.2
20,-0.370970,-2.692787,-0.243794,-0.000136,0.159613,4000,False,5.5
30,-0.165040,-3.171980,-0.077682,0.094144,0.172396,4000,False,5.5
40,-0.080132,-1.443817,-0.077682,0.048361,0.159085,4000,False,5.6
50,-0.072244,-2.238692,-0.059574,0.045094,0.170727,4000,False,5.5
60,-0.075009,-0.198621,-0.059574,0.065615,0.167297,4000,False,5.9
70,-0.038043,-0.089855,-0.030188,0.095772,0.166377,4000,False,6.0
80,0.000883,-0.058438,0.000883,0.194028,0.158827,4000,False,6.1
90,0.000796,-9.028634,0.011617,0.155021,0.161157,4000,False,5.2
100,0.028505,-9.496268,0.029399,0.209144,0.156360,4000,False,4.8
110,0.046827,-9.971867,0.047542,0.204079,0.158366,4000,False,5.2
120,0.055508,-3.960584,0.056684,0.211492,0.160067,4000,False,5.2
130,0.062319,-6.955116,0.062319,0.226790,0.157737,4000,False,5.1
140,0.065268,-8.949204,0.065795,0.229422,0.156497,4000,False,5.0
150,0.067553,-7.944974,0.067553,0.237223,0.156876,4000,False,5.1
160,0.068308,-12.950044,0.068467,0.231978,0.157442,4000,False,5.0
170,0.068591,-10.946863,0.068660,0.233687,0.158059,4000,False,4.8
180,0.068916,-11.947917,0.069034,0.232030,0.157959,4000,False,4.7
190,0.069269,-6.940712,0.069269,0.229529,0.158429,4000,False,5.0
200,0.069279,-6.940593,0.069367,0.230165,0.158617,4000,False,5.2
210,0.069387,-6.940448,0.069422,0.229873,0.158757,4000,False,5.1
220,0.069482,-3.936205,0.069498,0.230665,0.158762,4000,False,5.6
230,0.069534,-3.936096,0.069534,0.230969,0.158625,4000,False,5.2
240,0.069555,-6.940225,0.069564,0.229797,0.158844,4000,False,5.0
250,0.069564,-10.945778,0.069581,0.230297,0.158787,4000,False,5.0
260,0.069597,0.069551,0.069599,0.230519,0.158849,4000,False,6.1
270,0.069605,-7.941569,0.069605,0.230310,0.158832,4000,False,4.9
280,0.069619,-1.933203,0.069619,0.230398,0.158801,4000,False,5.3
290,0.069614,0.069577,0.069619,0.230182,0.158821,4000,False,6.1
300,0.069613,-2.934580,0.069623,0.230149,0.158820,4000,False,5.6
310,0.069625,0.069590,0.069626,0.230135,0.158832,4000,False,6.1
320,0.069628,-0.931782,0.069628,0.230265,0.158844,4000,False,5.7
330,0.069627,0.069611,0.069629,0.230129,0.158848,4000,False,6.0
340,0.069630,0.069619,0.069630,0.230150,0.158841,4000,False,6.2
350,0.069630,-1.933167,0.069631,0.230131,0.158854,4000,False,5.7
