gen,best_reward,avg_reward,overall_best,dist_x,height,steps,terminated
0,-28.467663,-28.595437,-28.467663,-0.013619,0.129876,147,True
10,-28.472197,-28.560396,-28.333608,-0.013769,0.129987,152,True
20,-28.315178,-28.524928,-28.308039,-0.013691,0.129987,149,True
30,-28.339369,-28.489092,-28.303011,-0.013741,0.129867,150,True
40,-28.316226,-28.453805,-28.207011,-0.013840,0.129852,152,True
50,-28.311558,-28.419390,-28.207011,-0.013840,0.129852,152,True
60,-28.220819,-28.384774,-28.164425,-0.013950,0.129896,156,True
70,-28.180255,-28.349814,-28.155499,-0.013853,0.129956,153,True
80,-28.159326,-28.316576,-28.113534,-0.013961,0.129856,156,True
90,-28.118499,-28.281010,-28.028755,-0.013854,0.129864,155,True
100,-28.081450,-28.246577,-28.028755,-0.013854,0.129864,155,True
110,-27.966854,-28.211412,-27.966854,-0.013653,0.129970,152,True
120,-27.997295,-28.175635,-27.966854,-0.013653,0.129970,152,True
130,-27.928291,-28.138434,-27.909219,-0.013888,0.129961,157,True
140,-27.879601,-28.098734,-27.848836,-0.013909,0.129851,159,True
150,-27.941207,-28.059337,-27.848836,-0.013909,0.129851,159,True
160,-27.831311,-28.022682,-27.792847,-0.013961,0.129962,161,True
170,-27.823707,-27.986599,-27.693904,-0.013840,0.129922,159,True
180,-27.813782,-27.950706,-27.693904,-0.013840,0.129922,159,True
190,-27.739716,-27.917235,-27.693904,-0.013840,0.129922,159,True
200,-27.685787,-27.883196,-27.685787,-0.013895,0.129978,163,True
210,-27.653908,-27.847928,-27.632530,-0.013848,0.129890,159,True
220,-27.697746,-27.812211,-27.601338,-0.013673,0.129865,161,True
230,-27.628689,-27.774608,-27.568205,-0.013799,0.129941,164,True
240,-27.539413,-27.738339,-27.533281,-0.013934,0.129876,169,True
250,-27.560572,-27.702759,-27.533281,-0.013934,0.129876,169,True
260,-27.468434,-27.667282,-27.437103,-0.013905,0.129881,170,True
270,-27.465572,-27.632878,-27.412889,-0.013764,0.129946,168,True
280,-27.467560,-27.597621,-27.412889,-0.013764,0.129946,168,True
290,-27.377339,-27.561286,-27.377339,-0.013866,0.129881,165,True
300,-27.259283,-27.527156,-27.259283,-0.013718,0.129940,169,True
310,-27.335448,-27.489930,-27.200357,-0.013867,0.129896,173,True
320,-27.268952,-27.453138,-27.200357,-0.013867,0.129896,173,True
330,-27.254473,-27.417344,-27.141046,-0.013860,0.129992,175,True
340,-27.244104,-27.384109,-27.141046,-0.013860,0.129992,175,True
350,-27.229308,-27.350579,-27.141046,-0.013860,0.129992,175,True
360,-27.146866,-27.317904,-26.992792,-0.013490,0.129897,179,True
370,-27.088713,-27.281940,-26.992792,-0.013490,0.129897,179,True
380,-27.050337,-27.246402,-26.992792,-0.013490,0.129897,179,True
390,-27.022328,-27.210923,-26.992792,-0.013490,0.129897,179,True
400,-27.054286,-27.178173,-26.992792,-0.013490,0.129897,179,True
410,-27.017346,-27.143563,-26.909290,-0.013685,0.129962,176,True
420,-26.995724,-27.109291,-26.877957,-0.013642,0.129981,181,True
430,-26.874973,-27.073457,-26.846482,-0.013571,0.129970,193,True
440,-26.868018,-27.037480,-26.827204,-0.013649,0.129967,188,True
450,-26.803674,-26.999600,-26.798292,-0.013575,0.129962,183,True
460,-26.763622,-26.977790,-1.975702,-0.017655,0.199320,4000,False
470,-1.942533,-25.704372,-1.942533,-0.016910,0.197421,4000,False
