
############################################################
# Run started: 2026-04-10T02:52:00.493719
############################################################
agent:
  action_range: 50.0
  batch_size: 64
  clip_range: 0.5
  device: auto
  ent_coef: 0.01
  gae_lambda: 0.95
  gamma: 0.99
  initial_weights_path: data/weights/initial_dmp_weights_newV1_bfs10.npy
  learning_rate: 0.0003
  max_grad_norm: 0.5
  n_epochs: 10
  n_steps: 64
  net_arch:
  - 256
  - 256
  seed: null
  type: ppo_dmp
  vf_coef: 0.5
env:
  control_substeps: 4
  initial_angles:
  - 0.0303
  - 1.54
  - -2.3
  - 0.0303
  - 1.54
  - -2.3
  - 0.0365
  - 1.48
  - -2.39
  - 0.0365
  - 1.48
  - -2.39
  initial_base_height: 0.3
  kd: 4.0
  kp: 80.0
  settle_steps: 1000
  xml_path: /Volumes/DEV/IRL/Go2_crawl/go2/scene.xml
policy:
  csv_path: /Volumes/DEV/IRL/Go2_crawl/dataset/new_dataset_v1.csv
  dmp_params_path: data/weights/dmp_params_newV1_bfs10.npz
  dmp_timesteps: 628
  n_bfs: 10
  n_components: 2
reward:
  fall_penalty: 25.0
  max_abs_pitch_deg: 50.0
  max_abs_roll_deg: 50.0
  max_height: 0.2
  min_height: 0.14
  reward_fn: forward
  reward_forward_weight: 1000.0
  reward_joint_vel_weight: -0.0002
  reward_lateral_weight: -500.0
  termination_fn: crawl
runner: rl
training:
  checkpoint_every: 50
  log_every: 10
  logdir: results/ppo_dmp_bfs10
  n_workers: 1
  sim_steps: 1000
  total_episodes: 5000
############################################################
timestamp,episode,reward,avg_reward_50,overall_best,dist_x,avg_dist_x_50,time_sec,update
2026-04-10T02:52:00.982361,0,-0.015470,-0.015470,-0.015470,-0.007286,-0.007286,0.49,0
2026-04-10T02:52:04.190215,10,-0.018659,-0.018317,-0.015470,-0.012200,-0.010897,0.32,0
2026-04-10T02:52:07.393808,20,-0.015856,-0.018330,-0.015116,-0.009248,-0.011128,0.32,0
2026-04-10T02:52:10.609192,30,-0.015305,-0.018008,-0.015116,-0.008312,-0.010696,0.32,0
2026-04-10T02:52:13.905347,40,-0.015829,-0.017990,-0.015116,-0.010487,-0.010644,0.30,0
2026-04-10T02:52:17.140196,50,-0.016668,-0.017951,-0.015116,-0.009932,-0.010692,0.33,0
2026-04-10T02:52:20.539987,60,-0.018701,-0.017696,-0.014444,-0.012606,-0.010508,0.33,0
2026-04-10T02:52:23.896342,70,-0.018644,-0.017601,-0.014444,-0.010292,-0.010332,0.33,0
2026-04-10T02:52:27.166542,80,-0.013264,-0.017558,-0.013264,-0.007295,-0.010242,0.32,0
2026-04-10T02:52:30.481685,90,-0.014516,-0.017185,-0.013264,-0.007853,-0.009820,0.33,0
2026-04-10T02:52:33.736437,100,-0.015806,-0.017102,-0.013264,-0.009043,-0.009711,0.32,0
2026-04-10T02:52:37.021135,110,-0.016729,-0.016931,-0.013264,-0.010230,-0.009523,0.32,0
2026-04-10T02:52:40.263619,120,-0.015107,-0.016495,-0.013264,-0.008309,-0.009179,0.33,0
2026-04-10T02:52:43.577321,130,-0.015287,-0.016541,-0.013264,-0.005097,-0.009102,0.34,0
2026-04-10T02:52:46.903388,140,-0.013903,-0.016492,-0.013264,-0.006009,-0.008998,0.32,0
2026-04-10T02:52:50.164389,150,-0.016657,-0.016296,-0.013264,-0.008323,-0.008702,0.33,0
2026-04-10T02:52:53.539587,160,-0.015174,-0.016056,-0.013161,-0.007334,-0.008308,0.34,0
2026-04-10T02:52:56.817945,170,-0.016100,-0.015964,-0.013161,-0.009083,-0.008156,0.32,0
2026-04-10T02:53:00.087080,180,-0.014587,-0.015495,-0.012080,-0.007807,-0.007926,0.32,0
2026-04-10T02:53:03.381505,190,-0.015453,-0.015500,-0.012080,-0.007500,-0.008032,0.34,0
2026-04-10T02:53:06.728395,200,-0.016750,-0.015372,-0.012080,-0.008398,-0.007711,0.34,0
2026-04-10T02:53:10.027894,210,-0.016294,-0.015317,-0.012080,-0.004254,-0.007698,0.34,0
2026-04-10T02:53:13.335493,220,-0.014090,-0.015048,-0.011198,-0.005974,-0.007357,0.32,0
2026-04-10T02:53:16.634308,230,-0.014541,-0.014831,-0.011198,-0.005619,-0.006885,0.35,0
2026-04-10T02:53:20.060636,240,-0.014587,-0.014662,-0.011198,-0.005547,-0.006643,0.34,0
2026-04-10T02:53:23.361959,250,-0.011474,-0.014431,-0.011198,-0.004109,-0.006604,0.34,0
2026-04-10T02:53:26.795917,260,-0.012388,-0.014296,-0.011198,-0.003601,-0.006405,0.33,0
